title,authors,categories,published_year
Think on These Things,Jiddu Krishnamurti,Religion,1989.0
The Dance of Intimacy,Harriet Lerner,Psychology,1990.0
Tell My Horse,Zora Neale Hurston,Fiction,1990.0
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,1990.0
The Chaneysville Incident,David Bradley,History,1990.0
The Writing Life,Annie Dillard,Literary Criticism,1990.0
The Lost Continent,Bill Bryson,Travel,1990.0
Three by Annie Dillard,Annie Dillard,Fiction,1990.0
Declarations of Independence,Howard Zinn,Political science,1991.0
The Complete Stories,Zora Neale Hurston,Fiction,1996.0
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,1994.0
The Infinite Plan,Isabel Allende,Fiction,1994.0
Soul Mates,Thomas Moore,Psychology,1994.0
"Cathedral, Forge and Waterwheel",Joseph Gies,History,1995.0
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,1996.0
Success Stories,Russell Banks,Fiction,1996.0
Testaments Betrayed,Milan Kundera,Literary Collections,1996.0
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,1996.0
Slowness,Milan Kundera,Fiction,1997.0
As Nature Made Him,John Colapinto,Medical,2001.0
The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit",1999.0
Brave New World,Aldous Huxley,Fiction,1998.0
You Can't Go Home Again,Thomas Wolfe,Fiction,1998.0
The Fifth Mountain,Paulo Coelho,Fiction,1999.0
V.,Thomas Pynchon,Fiction,1999.0
Identity,Milan Kundera,Fiction,1999.0
The Poisonwood Bible,Barbara Kingsolver,Fiction,1999.0
Cloudsplitter,Russell Banks,Fiction,1999.0
"Plato, Not Prozac!",Lou Marinoff,Philosophy,2000.0
The Crying of Lot 49,Thomas Pynchon,Fiction,1999.0
The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography,2002.0
The Odyssey of Homer,Homer,Fiction,1999.0
Collected Novellas,Gabriel Garcia Marquez,Fiction,1999.0
Collected Stories,Gabriel Garcia Marquez,Fiction,1999.0
A Mulligan for Bobby Jobe,Robert Cullen,Fiction,2002.0
In the Footsteps of Mr. Kurtz,Michela Wrong,History,2002.0
Every Tongue Got to Confess,Zora Neale Hurston,Literary Criticism,2002.0
Kitchen Confidential,Anthony Bourdain,Biography & Autobiography,2000.0
One Matchless Time,Jay Parini,Biography & Autobiography,2005.0
The Girl in the Glass,Jeffrey Ford,Fiction,2005.0
The Best American Science Writing 2002,Matt Ridley;Alan Lightman,Science,2002.0
Wittgenstein's Poker,David Edmonds;John Eidinow,Philosophy,2002.0
Smart Discipline(R),Larry Koenig,Family & Relationships,2004.0
The Schopenhauer Cure,Irvin Yalom,Fiction,2006.0
African Nights,Kuki Gallmann,Biography & Autobiography,2000.0
The Autobiography of Mark Twain,Charles Neider,Biography & Autobiography,2000.0
Joy in the Morning,Betty Smith,Fiction,2000.0
Beauty,John O'Donohue,"Body, Mind & Spirit",2005.0
The Darling,Russell Banks,Fiction,2005.0
The Making of a Philosopher,Colin McGinn,Philosophy,2003.0
